year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1951,Fluid products,2309612,Total domestic disappearance,169.23,10,Kilolitres,,,,
1951,Butter,3048717,Total domestic disappearance,217.63,9,Kilolitres,,,,
1951,Cheese,342149,Total domestic disappearance,24.42,14,Kilolitres,,,,
1951,Concentrated whole milk products,285959,Total domestic disappearance,20.41,7,Kilolitres,,,,
1951,Ice cream,200990,Total domestic disappearance,14.35,14,Kilolitres,,,,
1952,Total dairy products,6314039,Total domestic disappearance,441.03,1,Kilolitres,,,,
1952,Fluid products,2364838,Total domestic disappearance,167.9,13,Kilolitres,,,,
1952,Butter,3066698,Total domestic disappearance,212.1,5,Kilolitres,,,,
1952,Cheese,362978,Total domestic disappearance,25.11,1,Kilolitres,,,,
1952,Concentrated whole milk products,309687,Total domestic disappearance,21.42,11,Kilolitres,,,,
1952,Ice cream,209839,Total domestic disappearance,14.51,1,Kilolitres,,,,
1953,Total dairy products,6515034,Total domestic disappearance,443.25,9,Kilolitres,,,,
1953,Fluid products,2456630,Total domestic disappearance,169.87,6,Kilolitres,,,,
1953,Butter,3141547,Total domestic disappearance,211.62,4,Kilolitres,,,,
1953,Cheese,378925,Total domestic disappearance,25.52,14,Kilolitres,,,,
1953,Concentrated whole milk products,323095,Total domestic disappearance,21.77,8,Kilolitres,,,,
1953,Ice cream,214837,Total domestic disappearance,14.47,4,Kilolitres,,,,
1954,Total dairy products,6674397,Total domestic disappearance,441,6,Kilolitres,,,,
1954,Fluid products,2532755,Total domestic disappearance,170.08,0,Kilolitres,,,,
1954,Butter,3194306,Total domestic disappearance,208.96,0,Kilolitres,,,,
1954,Cheese,406569,Total domestic disappearance,26.59,10,Kilolitres,,,,
1954,Concentrated whole milk products,326799,Total domestic disappearance,21.38,1,Kilolitres,,,,
1954,Ice cream,213969,Total domestic disappearance,14,9,Kilolitres,,,,
1955,Total dairy products,6924064,Total domestic disappearance,445.56,14,Kilolitres,,,,
1955,Fluid products,2650096,Total domestic disappearance,173.3,11,Kilolitres,,,,
1955,Butter,3262846,Total domestic disappearance,207.85,10,Kilolitres,,,,
1955,Cheese,437579,Total domestic disappearance,27.88,9,Kilolitres,,,,
1955,Concentrated whole milk products,331280,Total domestic disappearance,21.1,6,Kilolitres,,,,
1955,Ice cream,242262,Total domestic disappearance,15.43,11,Kilolitres,,,,
1956,Total dairy products,7187915,Total domestic disappearance,451.54,4,Kilolitres,,,,
1956,Fluid products,2769857,Total domestic disappearance,176.81,10,Kilolitres,,,,
1956,Butter,3376466,Total domestic disappearance,209.97,7,Kilolitres,,,,
1956,Cheese,439044,Total domestic disappearance,27.3,14,Kilolitres,,,,
1956,Concentrated whole milk products,354057,Total domestic disappearance,22.02,1,Kilolitres,,,,
1956,Ice cream,248493,Total domestic disappearance,15.45,14,Kilolitres,,,,
1957,Total dairy products,7266994,Total domestic disappearance,441.8,14,Kilolitres,,,,
1957,Fluid products,2723374,Total domestic disappearance,168.26,1,Kilolitres,,,,
1957,Butter,3445254,Total domestic disappearance,207.42,5,Kilolitres,,,,
1957,Cheese,480568,Total domestic disappearance,28.93,5,Kilolitres,,,,
1957,Concentrated whole milk products,354807,Total domestic disappearance,21.36,2,Kilolitres,,,,
1957,Ice cream,262992,Total domestic disappearance,15.83,9,Kilolitres,,,,
1958,Total dairy products,7178475,Total domestic disappearance,424.41,10,Kilolitres,,,,
1958,Fluid products,2716494,Total domestic disappearance,163.17,3,Kilolitres,,,,
1958,Butter,3343365,Total domestic disappearance,195.75,4,Kilolitres,,,,
1958,Cheese,497747,Total domestic disappearance,29.14,10,Kilolitres,,,,
1958,Concentrated whole milk products,347025,Total domestic disappearance,20.32,13,Kilolitres,,,,
