"REF_DATE","GEO","DGUID","Type of dairy product","Type of disappearance of dairy products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1930","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","6.18","","","","2"
"1930","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","67187","","","","0"
"1930","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","6.58","","","","2"
"1931","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5455406","","","","0"
"1931","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","525.77","","","","2"
"1931","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1917568","","","","0"
"1931","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","184.81","","","","2"
"1931","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3243089","","","","0"
"1931","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","312.56","","","","2"
"1931","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","180616","","","","0"
"1931","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","17.41","","","","2"
"1931","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","57148","","","","0"
"1931","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","5.51","","","","2"
"1931","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","56985","","","","0"
"1931","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.49","","","","2"
"1932","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5359326","","","","0"
"1932","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","509.92","","","","2"
"1932","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1880474","","","","0"
"1932","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","178.92","","","","2"
"1932","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3220225","","","","0"
"1932","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","306.40","","","","2"
"1932","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","169305","","","","0"
"1932","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","16.11","","","","2"
"1932","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","46586","","","","0"
"1932","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.43","","","","2"
"1932","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","42735","","","","0"
"1932","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","4.07","","","","2"
"1933","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5400928","","","","0"
"1933","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","507.95","","","","2"
"1933","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1886505","","","","0"
"1933","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","177.42","","","","2"
"1933","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3248349","","","","0"
"1933","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","305.50","","","","2"
"1933","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","179922","","","","0"
"1933","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","16.92","","","","2"
"1933","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","46545","","","","0"
"1933","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.38","","","","2"
"1933","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","39607","","","","0"
"1933","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","3.73","","","","2"
"1934","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5600896","","","","0"
"1934","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","521.46","","","","2"
"1934","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1952737","","","","0"
"1934","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","181.80","","","","2"
"1934","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3360201","","","","0"
"1934","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","312.84","","","","2"
"1934","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","193035","","","","0"
"1934","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","17.97","","","","2"
"1934","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","53481","","","","0"
"1934","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.98","","","","2"
"1934","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","41441","","","","0"
"1934","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","3.86","","","","2"
"1935","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5667479","","","","0"
